2024-01-03 at 22:05:30 | INFO | [PROCESS][__main__] : Getting Content
2024-01-03 at 22:05:30 | INFO | [PROCESS][__main__] : Getting Content Success!
2024-01-03 at 22:05:30 | INFO | [PROCESS][__main__] : Setting Success!
2024-01-03 at 22:05:33 | INFO | [PROCESS][__main__] : Send Mail
2024-01-03 at 22:14:00 | INFO | [PROCESS][__main__] : Getting Content
2024-01-03 at 22:14:00 | INFO | [PROCESS][__main__] : Getting Content Success!
2024-01-03 at 22:14:00 | INFO | [PROCESS][__main__] : Setting Success!
2024-01-03 at 22:14:03 | INFO | [PROCESS][__main__] : Send Mail
2024-01-03 at 22:15:55 | INFO | [PROCESS][__main__] : Getting Content
2024-01-03 at 22:15:55 | INFO | [PROCESS][__main__] : Getting Content Success!
2024-01-03 at 22:15:55 | INFO | [PROCESS][__main__] : Setting Success!
2024-01-03 at 22:15:55 | INFO | [PROCESS][__main__] : Send Mail
